﻿Title:,"Table 28 - Non-UK HE students by HE provider and country of domicile"
Subtitle:,"Academic years 2014/15 to 2021/22"
Reference ID:,DT051 Table 28
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/students/table-28
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/students/table-28.csv
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2023
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,Level of study,All 
,Mode of study,All 
,Academic year,2017/18 
Search:,London School of Econ


"UKPRN","HE Provider","Bahrain","Iran","Iraq","Israel","Jordan","Kuwait","Lebanon","Occupied Palestinian Territories {formerly West Bank (including East Jerusalem) and Gaza Strip}","Oman","Qatar","Saudi Arabia","Syria","United Arab Emirates","Yemen","Middle East not otherwise specified","Total Middle East","Total"
"10004063","London School of Economics and Political Science","5","5","0","20","5","10","20","5","0","15","10","5","60","0","0","165","7,885"
