﻿Title:,"Table 28 - Non-UK HE students by HE provider and country of domicile"
Subtitle:,"Academic years 2014/15 to 2021/22"
Reference ID:,DT051 Table 28
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/students/table-28
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/students/table-28.csv
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2023
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,Level of study,All 
,Mode of study,All 
,Academic year,2021/22 
Search:,London School of Ec


"UKPRN","HE Provider","Austria","Belgium","Bulgaria","Canary Islands","Croatia","Cyprus (European Union)","Cyprus not otherwise specified","Czech Republic","Denmark","Estonia","Finland","France","French Guiana","Germany","Gibraltar","Greece","Guadeloupe","Hungary","Ireland","Italy","Latvia","Lithuania","Luxembourg","Malta","Martinique","Mayotte","Netherlands","Poland","Portugal","Romania","Réunion","Slovakia","Slovenia","Åland Islands","Spain","Sweden","European Union not otherwise specified","Total European Union","Total"
"10004063","London School of Economics and Political Science","60","70","20","0","5","55","0","15","35","5","15","405","0","405","0","80","0","30","45","215","5","15","30","5","0","0","95","105","35","35","0","15","0","0","125","40","0","1,970","8,520"
